DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str	
204	5518	7317	3790	6683	3565	1007	476	468	
237	5327	7335	3691	6866	3545	973	445	491	
220	5913	7663	3844	7145	3602	1067	496	503	
208	5413	7262	3673	7134	3317	1000	445	437	
206	5436	8199	3639	7461	3529	1042	439	516	
195	5509	7740	3391	6859	3252	965	402	485	
154	5349	7691	3268	6904	3137	997	382	453	
163	5126	7153	3183	6653	2904	846	388	392	
143	4872	7041	2820	6292	2736	784	319	420	
115	4087	6471	2488	5901	2298	658	268	406	
141	3985	5914	2288	5375	1886	624	279	314	
134	3534	5214	1966	4804	1804	583	210	322	
122	3117	4878	1769	4377	1553	481	170	297	
100	2673	4139	1439	3805	1294	397	171	248	
70	2251	3730	1203	3241	1006	371	152	268	
79	1831	3004	958	2744	862	275	132	241	
94	1519	2655	760	2440	720	243	120	230	
91	1194	2311	610	1973	584	186	97	185	
76	1098	1898	464	1594	442	229	83	184	
79	802	1522	364	1200	350	178	72	184	
79	650	1237	333	1007	288	162	51	195	
64	458	949	194	831	194	136	51	143	
68	402	856	197	631	169	144	67	158	
72	336	640	148	460	134	139	62	181	
70	241	516	98	389	116	116	78	154	
79	203	445	98	331	95	115	67	175	
73	209	389	67	309	61	129	54	196	
69	147	285	65	210	74	112	51	202	
81	139	289	52	182	48	117	68	178	
72	124	231	77	187	70	118	67	174	
72	125	227	63	163	55	104	73	220	
79	127	188	60	176	73	139	57	167	
103	78	206	69	146	65	103	75	212	
99	86	166	58	155	40	117	68	191	
120	104	186	55	129	55	158	65	226	
113	112	117	55	110	55	127	69	245	
112	139	196	84	129	59	149	76	268	
102	122	200	49	124	58	164	76	228	
145	111	192	65	109	67	167	59	311	
159	102	148	70	122	72	164	64	285	
148	106	148	70	146	47	174	78	321	
176	94	148	69	148	41	199	97	363	
