DWTR-TX.str	DWTR-AR.str	DWTR-FL.str	DWTR-IL.str	DWTR-KS.str	DWTR-ME.str	DWTR-OR.str	DWTR-PA.str	
297	83	69	317	183	180	153	120	
304	73	63	315	228	179	184	133	
396	79	71	337	248	147	221	123	
384	97	66	343	336	196	219	151	
492	101	76	364	372	214	267	156	
533	124	69	347	426	237	313	151	
625	114	82	391	445	250	338	146	
663	101	84	407	458	290	342	194	
690	135	89	414	513	279	398	170	
743	127	77	416	547	311	404	210	
780	141	96	469	569	298	416	211	
763	119	80	526	542	298	481	236	
675	120	78	538	540	328	431	202	
728	117	96	601	508	321	407	210	
728	127	85	665	557	313	387	226	
672	108	98	740	513	329	439	207	
627	119	87	767	472	258	374	183	
551	109	73	896	452	259	366	171	
523	99	97	927	384	230	340	179	
435	92	87	1062	353	214	311	161	
378	99	84	1134	309	215	278	144	
368	76	76	1221	315	179	260	132	
266	103	78	1326	234	170	234	129	
257	86	84	1456	240	176	227	112	
187	93	84	1627	236	156	202	107	
212	102	90	1709	211	132	200	123	
178	65	77	1826	182	125	165	107	
159	72	82	2093	187	139	163	104	
167	65	76	2186	202	142	165	98	
174	71	86	2505	158	132	171	110	
147	74	79	2604	163	135	167	115	
145	84	96	3123	209	142	172	127	
194	86	109	3433	187	146	192	151	
182	92	98	3995	219	175	213	136	
204	110	101	4446	248	192	251	145	
225	107	132	5285	282	199	249	202	
257	117	165	6222	304	224	249	194	
256	112	142	7383	374	241	319	257	
339	145	171	8769	431	298	307	287	
368	170	205	10479	429	345	346	287	
355	179	248	12203	516	352	463	358	
437	192	260	14256	596	377	486	412	
449	225	285	15997	705	412	558	469	
511	264	327	18749	775	493	554	504	
568	284	345	20211	866	550	666	539	
597	274	364	23118	859	593	695	624	
561	302	377	24053	889	597	793	596	
613	315	416	26735	972	656	753	636	
637	300	381	27480	1011	650	772	663	
581	336	417	29061	1000	671	789	699	
594	309	402	28198	957	621	781	610	
579	258	370	28883	896	626	838	687	
522	273	339	27274	804	597	777	563	
481	294	329	26653	754	577	748	600	
406	256	322	24466	643	505	705	525	
409	240	303	22759	641	480	668	442	
382	249	210	19882	527	422	628	406	
311	195	234	18056	490	397	562	388	
239	180	173	15565	418	321	455	314	
259	156	175	13396	353	289	383	285	
196	176	163	11075	293	267	333	205	
187	133	142	9674	271	248	295	227	
184	110	137	7587	216	194	235	187	
125	97	125	6580	152	154	229	164	
133	114	101	5166	175	154	194	157	
127	91	98	4326	165	149	205	155	
