#energy (keV)	DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str
2.5	22	485	654	70	503	77	518	37	325
2.51	7	394	627	70	590	73	511	32	304
2.52	20	440	569	83	528	56	534	41	290
2.53	21	396	601	100	511	67	554	51	290
2.54	22	414	609	79	481	74	627	51	342
2.55	14	404	573	80	464	62	665	49	290
2.56	21	419	544	86	436	72	732	76	364
2.57	22	363	559	69	473	65	776	74	331
2.58	12	426	615	101	509	73	944	84	364
2.59	22	447	599	80	507	62	1047	91	420
2.6	13	495	581	87	545	73	1145	92	472
2.61	10	501	648	89	554	67	1312	110	427
2.62	9	505	668	63	548	78	1350	106	517
2.63	14	587	676	84	545	63	1467	102	582
2.64	26	633	757	76	560	78	1591	137	629
2.65	10	645	806	76	610	81	1680	110	805
2.66	25	747	864	84	657	81	1714	120	819
2.67	17	744	935	80	810	89	1773	99	854
2.68	20	835	931	74	812	80	1853	97	950
2.69	16	930	1024	83	852	70	1759	94	961
2.7	17	973	1212	97	900	88	1825	70	1088
2.71	16	965	1131	62	874	77	1794	78	1132
2.72	26	1057	1220	72	1009	70	1643	69	1158
2.73	26	986	1263	65	953	74	1461	52	1158
2.74	12	1072	1200	97	1005	72	1510	47	1187
2.75	14	1075	1172	91	1027	88	1304	57	1194
2.76	21	1098	1293	83	994	87	1289	46	1179
2.77	17	1074	1227	89	1059	76	1256	31	1099
2.78	9	1031	1247	74	990	80	1245	38	1064
2.79	13	1057	1212	93	943	77	1096	26	987
2.8	8	993	1160	100	917	67	1090	35	1046
2.81	13	933	1158	90	818	73	1047	39	973
2.82	21	1014	1113	90	904	67	1002	26	889
2.83	21	957	1099	76	846	67	917	30	908
2.84	16	924	1067	84	829	80	912	30	910
2.85	18	848	1081	76	808	87	852	23	851
2.86	14	957	1010	76	797	78	797	32	837
2.87	14	940	1030	77	859	94	772	25	814
2.88	10	912	1012	100	810	96	726	18	810
2.89	13	846	961	100	749	77	712	18	701
2.9	18	839	963	94	769	88	630	17	685
2.91	18	803	866	89	734	92	613	26	646
2.92	13	835	967	87	752	83	557	26	598
2.93	23	774	911	90	692	99	521	18	590
2.94	17	760	856	97	648	94	525	15	521
2.95	30	691	806	111	657	84	446	18	534
2.96	21	635	874	79	681	102	428	31	510
2.97	22	632	828	97	644	88	358	18	434
2.98	22	609	779	104	666	91	399	17	426
2.99	33	564	704	103	565	95	295	16	450
3	26	571	672	97	608	87	295	21	418
3.01	29	482	640	94	606	87	297	27	363
3.02	29	470	670	111	573	103	287	11	381
3.03	31	485	587	100	494	84	253	26	327
3.04	33	498	609	93	530	94	245	23	352
3.05	31	389	563	104	539	94	250	20	317
3.06	38	480	583	115	533	121	237	20	314
3.07	34	401	583	110	524	110	191	21	318
3.08	33	346	609	111	522	103	211	25	367
3.09	35	373	516	107	466	89	173	17	307
3.1	48	404	557	108	502	106	204	21	328
3.11	43	381	520	121	490	125	187	23	275
3.12	49	356	540	117	473	134	220	28	322
3.13	36	414	516	115	434	103	181	22	332
