twotheta, intensity, esd
45.479, 207.431527204, 14.2118599368
45.48, 234.117855769, 15.1109078351
45.481, 244.995722452, 15.4318485673
45.482, 236.583387959, 15.1754741801
45.483, 231.235541061, 15.0190523999
45.484, 247.450641263, 15.5249827799
45.485, 233.471681068, 15.1006992973
45.486, 215.015739065, 14.4623474577
45.487, 241.136449332, 15.3417501569
45.488, 224.676269016, 14.7813565078
45.489, 235.009659483, 15.136960297
45.49, 217.56272254, 14.5678818476
45.491, 220.391299678, 14.6589918715
45.492, 233.571462532, 15.107153056
45.493, 232.748781084, 15.0539428974
45.494, 221.776492175, 14.7185930957
45.495, 213.452279404, 14.4226058826
45.496, 221.430194185, 14.6956104109
45.497, 272.35489522, 16.2746409347
45.498, 233.685242326, 15.0829852239
45.499, 224.546247555, 14.8048878564
45.5, 236.114163443, 15.1766415307
45.501, 242.014114113, 15.366509013
45.502, 225.434927436, 14.8312683237
45.503, 224.624658788, 14.8100577024
45.504, 236.883886628, 15.2576791728
45.505, 218.321513662, 14.5535623928
45.506, 239.313732927, 15.2567049765
45.507, 249.614715471, 15.5690654813
45.508, 207.054948706, 14.1860592259
45.509, 245.513819476, 15.4338844264
45.51, 226.354209117, 14.8276857372
45.511, 244.532133973, 15.4026479465
45.512, 216.546421863, 14.4998309057
45.513, 210.649928733, 14.2987069623
45.514, 233.532017584, 15.073095483
45.515, 268.917271254, 16.1852733984
45.516, 226.379614037, 14.8293499261
45.517, 248.39043059, 15.5533523988
45.518, 239.84393277, 15.2595167732
45.519, 242.993126614, 15.3668207747
45.52, 204.919802419, 14.1061655396
45.521, 254.047815644, 15.6936131318
45.522, 210.949001775, 14.3190077419
45.523, 222.566363458, 14.7063597898
45.524, 195.873630028, 13.8148386509
45.525, 249.446793922, 15.5585918136
45.526, 236.942502304, 15.1985093159
45.527, 248.179852271, 15.5097794151
45.528, 239.15376086, 15.2465064534
45.529, 235.549068682, 15.1403190988
45.53, 223.766931932, 14.7535056555
45.531, 224.964535406, 14.8003214315
45.532, 249.128231779, 15.5387223325
45.533, 227.700024144, 14.8839343844
45.534, 232.223810023, 15.0199883292
45.535, 231.339781873, 14.9942173755
45.536, 198.507579879, 13.8972671185
45.537, 222.493802727, 14.7015652459
45.538, 217.313724217, 14.551209055
45.539, 235.423019322, 15.1322170607
45.54, 235.48791789, 15.1363885271
45.541, 230.977307126, 14.9707236853
45.542, 242.165989398, 15.3452397051
45.543, 218.998320115, 14.5986790869
45.544, 242.477318429, 15.3649675728
45.545, 231.259123353, 15.0205841007
45.546, 248.367264777, 15.5214915932
45.547, 246.355446633, 15.4867921458
45.548, 214.782390522, 14.4466520127
45.549, 234.421798964, 15.0990962307
45.55, 236.913910921, 15.1966753419
45.551, 210.166103224, 14.2988553361
45.552, 240.731164952, 15.3159648735
45.553, 258.446859795, 15.844842443
45.554, 259.822745219, 15.899331344
45.555, 237.64688432, 15.2124166597
45.556, 252.301012652, 15.6757278207
45.557, 249.564606986, 15.596318431
45.558, 247.777727335, 15.5149870334
45.559, 235.360045219, 15.1281692925
45.56, 230.082799353, 14.9441803104
45.561, 246.510591451, 15.4965451088
45.562, 213.100945368, 14.3988668419
45.563, 256.008997672, 15.7846631446
45.564, 235.974217859, 15.167646289
45.565, 245.516322278, 15.4646402324
45.566, 240.430186547, 15.2968158169
45.567, 242.112236474, 15.3418335641
45.568, 239.503416778, 15.2687976822
45.569, 225.729391851, 14.8506410128
45.57, 209.902427534, 14.3140940764
45.571, 240.602818682, 15.3077991382
45.572, 230.492686672, 14.9708030307
45.573, 219.06869553, 14.6033703927
45.574, 226.314416079, 14.8570007463
45.575, 232.038907253, 15.0395309737
